Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
white-embroidered-floral-corset-set,,,,,,,,,XL,,,,,"",0.0,shopify,5,deny,manual,4890.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9686.jpg?v=1652705470,5,,,,,,,,,,,,,,,,,,,kg,,950.00,
white-embroidered-floral-corset-set,,,,,,,,,2XL,,,,,"",0.0,shopify,4,deny,manual,4890.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9652.jpg?v=1652705470,6,,,,,,,,,,,,,,,,,,,kg,,950.00,
white-embroidered-floral-corset-set,,,,,,,,,3XL,,,,,"",0.0,shopify,3,deny,manual,4890.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9669.jpg?v=1652705470,7,,,,,,,,,,,,,,,,,,,kg,,950.00,
white-embroidered-floral-corset-set,,,,,,,,,4XL,,,,,"",0.0,shopify,2,deny,manual,4890.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,950.00,
white-embroidered-floral-corset-set,,,,,,,,,5XL,,,,,"",0.0,shopify,2,deny,manual,4890.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,950.00,
white-crochet-set,Naomi White Crochet Cover-Up Set,"<p>Get vacation ready with our Naomi White Crochet Cover-Up Set. Made with a gorgeous embroidered crochet fabric, our Naomi comprises an adorable tie-front crop top with bell sleeves and wooden bead accents. A matching, slip-on style mini skirt makes it the perfect set to go from the beach to the bar and back!</p>
<ul>
<li>Made with White Floral Crochet Fabric.</li>
<li>Tie-Front Style Crop Top with Bell Sleeves and Wooden Bead Accents.</li>
<li>Slip-On Style Mini Skirt with Elasticated Waistband.</li>
</ul>
<p>Where to Wear: Take out our Naomi for you nest beach vacation with some tan sandals and a cute hat!</p>",Lea Clothing Co.,,Coord Set,"Apple, Beach Vacation, co-ord, co-ord set, Crochet, crop top, Embroidered, flared sleeves, Hourglass, Inverted Triangle, Mini, mini skirt, Neutral, Pear, Rectangle, Resort, Resortwear, Sleeves, Summer Fling",true,Size,XS,,,,,"",0.0,shopify,6,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0140.jpg?v=1652698573,1,,false,,,,,,,,,,,,,,,,,kg,,,active
white-crochet-set,,,,,,,,,S,,,,,"",0.0,shopify,8,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0147.jpg?v=1652698528,2,,,,,,,,,,,,,,,,,,,kg,,,
white-crochet-set,,,,,,,,,M,,,,,"",0.0,shopify,8,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0151.jpg?v=1652698528,3,,,,,,,,,,,,,,,,,,,kg,,,
white-crochet-set,,,,,,,,,L,,,,,"",0.0,shopify,8,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0172.jpg?v=1652698538,4,,,,,,,,,,,,,,,,,,,kg,,,
white-crochet-set,,,,,,,,,XL,,,,,"",0.0,shopify,5,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0183.jpg?v=1652698538,5,,,,,,,,,,,,,,,,,,,kg,,,
white-crochet-set,,,,,,,,,2XL,,,,,"",0.0,shopify,4,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0190.jpg?v=1652698538,6,,,,,,,,,,,,,,,,,,,kg,,,
white-crochet-set,,,,,,,,,3XL,,,,,"",0.0,shopify,3,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0195.jpg?v=1652698538,7,,,,,,,,,,,,,,,,,,,kg,,,
white-crochet-set,,,,,,,,,4XL,,,,,"",0.0,shopify,2,deny,manual,4990.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
white-crochet-set,,,,,,,,,5XL,,,,,"",0.0,shopify,2,deny,manual,4990.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
blue-jeans-heart,Evie Heart Rhinestone Embroidered Jeans,"<p>Give your denim a serious upgrade with our Evie Embroidered Rhinestone Jeans. Made with a lightweight, stretch, dark-wash denim fabric, our Evie comes in a flattering high-waisted, straight-leg silhouette that is tailored to fit YOUR curves. An adorable heart cutout on the left pant leg and right pocket embellished with rhinestones takes this look to a whole nother level! </p>
<ul>
<li>Made with Dark-Wash, Lycra denim Fabric.</li>
<li>High-Waist, Straight Leg Silhouette.</li>
<li>Heart-Shaped Cutout on the Left Pant Leg.</li>
<li>Rhinestone Embellishment on the Cutout and Right Pocket.</li>
</ul>
<p>Where to Wear: Pair our Evie with our Dixie White Power Mesh Corset for a new take on jeans-and-a-nice-top!</p>",Lea Clothing Co.,,Jeans,"Apple, bottoms, Concert, Dark Hues, Date Night, denim, elevated basics, Embroidered, High waist, Hourglass, Inverted Triangle, Other, pants, party dress, Rectangle, Rhinestone, Solid, Summer Fling",true,Size,XS,,,,,"",0.0,shopify,6,deny,manual,5290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9767.jpg?v=1652772620,1,,false,,,,,,,,,,,,,,,,,kg,,,active
blue-jeans-heart,,,,,,,,,S,,,,,"",0.0,shopify,8,deny,manual,5290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9797.jpg?v=1652772582,2,,,,,,,,,,,,,,,,,,,kg,,,
blue-jeans-heart,,,,,,,,,M,,,,,"",0.0,shopify,8,deny,manual,5290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9798.jpg?v=1652772582,3,,,,,,,,,,,,,,,,,,,kg,,,
blue-jeans-heart,,,,,,,,,L,,,,,"",0.0,shopify,8,deny,manual,5290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9740_74e326f3-5be6-4753-8ed8-4f8bab286819.jpg?v=1652772582,4,,,,,,,,,,,,,,,,,,,kg,,,
blue-jeans-heart,,,,,,,,,XL,,,,,"",0.0,shopify,5,deny,manual,5290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9733.jpg?v=1652705454,5,,,,,,,,,,,,,,,,,,,kg,,,
blue-jeans-heart,,,,,,,,,2XL,,,,,"",0.0,shopify,4,deny,manual,5290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9724.jpg?v=1652705454,6,,,,,,,,,,,,,,,,,,,kg,,,
blue-jeans-heart,,,,,,,,,3XL,,,,,"",0.0,shopify,3,deny,manual,5290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9788_fd2b40c7-0d88-4648-8172-890077468f1b.jpg?v=1652698386,7,,,,,,,,,,,,,,,,,,,kg,,,
blue-jeans-heart,,,,,,,,,4XL,,,,,"",0.0,shopify,2,deny,manual,5290.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
blue-jeans-heart,,,,,,,,,5XL,,,,,"",0.0,shopify,2,deny,manual,5290.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
white-mesh-corset,Dixie White Power Mesh Corset,"<p>Elevated basic supremacy with our Dixie White Mesh Corset Top. Made with a soft, white power mesh fabric, our Dixie comes with our signature boned corsetry, elevated with subtle peekaboo detailing and an adjustable lace-up back. Our incredible, 4-way stretch power mesh ensures an impeccable fit for ALL bodies. This is an elevated basic you'll find yourself reaching for again and again and again in your closet!</p>
<ul>
<li>Made with White Power Mesh and White Spandex Fabric.</li>
<li>Bodice with Boned Corsetry and an Adjustable Lace-Up Back.</li>
<li>Peekaboo Detailing with Placement Lining.</li>
</ul>
<p>Where to Wear: Pair our Dixie with our Evie Heart Rhinestone Jeans for the cutest jeans-and-a-nice-top look!</p>",Lea Clothing Co.,,Corset,"Apple, Bachelorette, Concert, corset, corset top, crop top, Date Night, elevated basics, Hourglass, Mesh Top, Neutral, party, Pear, Rectangle, Sleeveless, Solid, Summer Fling",true,Size,XS,,,,,"",0.0,shopify,6,deny,manual,3590.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9740.jpg?v=1652772314,1,,false,,,,,,,,,,,,,,,,,kg,,,active
white-mesh-corset,,,,,,,,,S,,,,,"",0.0,shopify,7,deny,manual,3590.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9796.jpg?v=1652772273,2,,,,,,,,,,,,,,,,,,,kg,,,
white-mesh-corset,,,,,,,,,M,,,,,"",0.0,shopify,8,deny,manual,3590.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9788.jpg?v=1652772273,3,,,,,,,,,,,,,,,,,,,kg,,,
white-mesh-corset,,,,,,,,,L,,,,,"",0.0,shopify,8,deny,manual,3590.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9781.jpg?v=1652703475,4,,,,,,,,,,,,,,,,,,,kg,,,
white-mesh-corset,,,,,,,,,XL,,,,,"",0.0,shopify,5,deny,manual,3590.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
white-mesh-corset,,,,,,,,,2XL,,,,,"",0.0,shopify,4,deny,manual,3590.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
white-mesh-corset,,,,,,,,,3XL,,,,,"",0.0,shopify,3,deny,manual,3590.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
white-mesh-corset,,,,,,,,,4XL,,,,,"",0.0,shopify,2,deny,manual,3590.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
white-mesh-corset,,,,,,,,,5XL,,,,,"",0.0,shopify,2,deny,manual,3590.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
purple-cutout-bodycon-dress,Hallie Violet Cutout Bodycon Dress,"<p>Turn up the heat in our Hallie Violet Cutout Bodycon Dress. Made with our famous power mesh fabric, our Hallie is made to fit your curves like a glove! Its bodice comes with statement cutouts, geometric-style sleeves, a metallic D-ring at the waist, and lace-up detailing in the front. A midi-style silhouette with a cutout back completes this sizzling look!</p>
<ul>
<li>Made with Violet Power Mesh and Poly Knit Fabric. Partially Lined.</li>
<li>Bodycon-Style Midi Dress with Cutouts at the Waist and Neck.</li>
<li>Metallic D-Ring Accent at the Waist with Geometric-Style Sleeves. </li>
</ul>
<p>Where to Wear: Don our Hallie for your next girls' night out with some vinyl heels and rhinestone earrings and make heads turn!</p>",Lea Clothing Co.,Apparel & Accessories > Clothing > Dresses,,"Bachelorette, backless, Birthday, Bodycon, Bodycon dress, Bright Hues, Concert, Cutout Dress, dresses, Hourglass, Mesh Dress, midi dress, night out dress, party, party dress, Pear, Rectangle, Sleeveless, Solid, Summer Fling",true,Size,XS,,,,,"",0.0,shopify,6,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9862.jpg?v=1652773003,1,,false,,,,,,,,,,,,,,,,,kg,,,active
purple-cutout-bodycon-dress,,,,,,,,,S,,,,,"",0.0,shopify,8,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9865.jpg?v=1652772972,2,,,,,,,,,,,,,,,,,,,kg,,,
purple-cutout-bodycon-dress,,,,,,,,,M,,,,,"",0.0,shopify,8,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9839.jpg?v=1652772972,3,,,,,,,,,,,,,,,,,,,kg,,,
purple-cutout-bodycon-dress,,,,,,,,,L,,,,,"",0.0,shopify,8,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9828.jpg?v=1652772972,4,,,,,,,,,,,,,,,,,,,kg,,,
purple-cutout-bodycon-dress,,,,,,,,,XL,,,,,"",0.0,shopify,5,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9869.jpg?v=1652703058,5,,,,,,,,,,,,,,,,,,,kg,,,
purple-cutout-bodycon-dress,,,,,,,,,2XL,,,,,"",0.0,shopify,4,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9870.jpg?v=1652703058,6,,,,,,,,,,,,,,,,,,,kg,,,
purple-cutout-bodycon-dress,,,,,,,,,3XL,,,,,"",0.0,shopify,3,deny,manual,5490.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
purple-cutout-bodycon-dress,,,,,,,,,4XL,,,,,"",0.0,shopify,2,deny,manual,5490.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
purple-cutout-bodycon-dress,,,,,,,,,5XL,,,,,"",0.0,shopify,2,deny,manual,5490.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
purple-schiffli-corset-top,Kimberly Lavender Schiffli Corset Top,"<p>Welcome summer with our Kimberly Lavender Schiffli Corset. Made with a gorgeous, embroidered schiffli fabric in our iconic Lea Lavender shade, our Kimberly comes with our signature boned corsetry perfectly complimented by an adorable sweetheart neckline with a faux-bow look and lace detailing. Statement puff sleeves complete the look! </p>
<ul>
<li>Made with a Lavender, Embroidered Schiffli Fabric. Fully Lined. </li>
<li>Bodice with Signature Boned Corsetry, Sweetheart Neckline with Faux-Bow Look, and Lace Detailing.</li>
<li>Statement Puff Full Sleeves.</li>
<li>Exposed Metallic Zip Closure in the Back.</li>
</ul>
<p>Where to Wear: Pair our Kimberly with our Charlie White Wide-leg Pants and gold jewelry for a fancy brunch look, or with our Evie Heart Embroidered Jeans and sneakers for a casual weekend look!</p>",Lea Clothing Co.,,Corset,"Apple, Beach Vacation, corset, corset top, crop top, Date Night, Embroidered, Embroidered Sleeves, Floral, Hourglass, Inverted Triangle, Other, party, Pastel, Pear, puff sleeves, Rectangle, Sleeves, statement sleeves, Summer Fling",true,Size,XS,,,,,"",0.0,shopify,6,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0242.jpg?v=1652697685,1,,false,,,,,,,,,,,,,,,,,kg,,,active
purple-schiffli-corset-top,,,,,,,,,S,,,,,"",0.0,shopify,8,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0248.jpg?v=1652697652,2,,,,,,,,,,,,,,,,,,,kg,,,
purple-schiffli-corset-top,,,,,,,,,M,,,,,"",0.0,shopify,7,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0272.jpg?v=1652697652,3,,,,,,,,,,,,,,,,,,,kg,,,
purple-schiffli-corset-top,,,,,,,,,L,,,,,"",0.0,shopify,8,deny,manual,4990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0279.jpg?v=1652697652,4,,,,,,,,,,,,,,,,,,,kg,,,
purple-schiffli-corset-top,,,,,,,,,XL,,,,,"",0.0,shopify,5,deny,manual,4990.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
purple-schiffli-corset-top,,,,,,,,,2XL,,,,,"",0.0,shopify,4,deny,manual,4990.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
purple-schiffli-corset-top,,,,,,,,,3XL,,,,,"",0.0,shopify,3,deny,manual,4990.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
purple-schiffli-corset-top,,,,,,,,,4XL,,,,,"",0.0,shopify,2,deny,manual,4990.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
purple-schiffli-corset-top,,,,,,,,,5XL,,,,,"",0.0,shopify,2,deny,manual,4990.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
floral-organza-dress,Camille Floral Organza Corset Dress,"<p>Experience the magic of dreamy organza with our Camille Floral Puff Corset Dress. Made with beautiful, lightweight organza fabric, our Camille comes adorned with an originally developed watercolor floral print that captures the essence of summer romance. Add to the mix our signature boned corsetry with an adjustable tie back with a gorgeous bow, a balloon-style mini skirt, and detachable, off-the-shoulder sleeves, and you've got yourself the perfect summer look! </p>
<ul>
<li>Made with a Watercolor Floral Print Organza Fabric. Fully Lined.</li>
<li>Bodice with our Signature Boned Corsetry and an Adjustable Tie-Back with a Statement Bow. </li>
<li>Balloon-Style Puff Mini Skirt.</li>
<li>Detachable Off-the-Shoulder Puff Sleeves.</li>
</ul>
<p>Where to Wear: Pair our Camille with some kitten heels and delicate jewelry for a brunch date! </p>
<meta charset=""utf-8"">",Lea Clothing Co.,Apparel & Accessories > Clothing > Dresses,,"Apple, backless, Beach Vacation, Birthday, Bridal Shower, brunch dress, corset, corset dress, dresses, Floral, Graduation, Hourglass, Inverted Triangle, Mini, Mini Dress, Organza Dress, organza sleeves, Pastel, Pear, puff dress, puff sleeves, Skater, Sleeves, Summer Fling",true,Size,XS,,,,,"",0.0,shopify,6,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0024_dc86502a-98f5-438e-9f6d-6c9b303a1335.jpg?v=1652772218,1,,false,,,,,,,,,,,,,,,,,kg,,998.00,active
floral-organza-dress,,,,,,,,,S,,,,,"",0.0,shopify,8,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0001.jpg?v=1652772165,2,,,,,,,,,,,,,,,,,,,kg,,998.00,
floral-organza-dress,,,,,,,,,M,,,,,"",0.0,shopify,8,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0026.jpg?v=1652772165,3,,,,,,,,,,,,,,,,,,,kg,,998.00,
floral-organza-dress,,,,,,,,,L,,,,,"",0.0,shopify,8,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0008.jpg?v=1652772165,4,,,,,,,,,,,,,,,,,,,kg,,998.00,
floral-organza-dress,,,,,,,,,XL,,,,,"",0.0,shopify,5,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0032.jpg?v=1652772165,5,,,,,,,,,,,,,,,,,,,kg,,998.00,
floral-organza-dress,,,,,,,,,2XL,,,,,"",0.0,shopify,4,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0029copy.jpg?v=1652772165,6,,,,,,,,,,,,,,,,,,,kg,,998.00,
floral-organza-dress,,,,,,,,,3XL,,,,,"",0.0,shopify,3,deny,manual,5490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0012.jpg?v=1652772165,7,,,,,,,,,,,,,,,,,,,kg,,998.00,
floral-organza-dress,,,,,,,,,4XL,,,,,"",0.0,shopify,2,deny,manual,5490.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,998.00,
floral-organza-dress,,,,,,,,,5XL,,,,,"",0.0,shopify,2,deny,manual,5490.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,998.00,
black-crystal-set,Black Crystal Set,"",Lea Clothing Co.,,,"",false,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0024.jpg?v=1652697239,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
black-crystal-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea00012.jpg?v=1652697202,2,,,,,,,,,,,,,,,,,,,,,,
black-crystal-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0034.jpg?v=1652697202,3,,,,,,,,,,,,,,,,,,,,,,
black-crystal-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0014.jpg?v=1652697202,4,,,,,,,,,,,,,,,,,,,,,,
black-crystal-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea0031.jpg?v=1652697202,5,,,,,,,,,,,,,,,,,,,,,,
